"gene_id","gene_name","samples_detected","total_counts","is_deprecated_probe","is_universe"
"ENSG00000214510","SPINK13",22,3924,FALSE,TRUE
"ENSG00000145879","SPINK7",22,5685,FALSE,TRUE
"ENSG00000204909","SPINK9",22,1269,FALSE,TRUE
"ENSG00000145868","FBXO38",22,171655,FALSE,TRUE
"ENSG00000251330","AC114939.1",0,0,FALSE,FALSE
"ENSG00000164270","HTR4",22,17888,FALSE,TRUE
"ENSG00000253297","AC008627.1",0,0,FALSE,FALSE
"ENSG00000169252","ADRB2",22,194130,FALSE,TRUE
"ENSG00000169247","SH3TC2",22,61228,FALSE,TRUE
"ENSG00000272411","AC116312.1",0,0,FALSE,FALSE
"ENSG00000250072","SH3TC2-DT",0,0,FALSE,FALSE
"ENSG00000173210","ABLIM3",22,368139,FALSE,TRUE
"ENSG00000248647","AC012613.1",0,0,FALSE,FALSE
"ENSG00000253406","AC012613.2",0,0,FALSE,FALSE
"ENSG00000157510","AFAP1L1",22,874499,FALSE,TRUE
"ENSG00000285736","AC131025.3",0,0,FALSE,FALSE
"ENSG00000164284","GRPEL2",22,50140,FALSE,TRUE
"ENSG00000253618","GRPEL2-AS1",0,0,FALSE,FALSE
"ENSG00000145882","PCYOX1L",22,45310,FALSE,TRUE
"ENSG00000127743","IL17B",22,4266,FALSE,TRUE
"ENSG00000253865","AC131025.1",0,0,FALSE,FALSE
"ENSG00000249669","CARMN",0,0,FALSE,FALSE
"ENSG00000275871","AC131025.2",0,0,FALSE,FALSE
"ENSG00000113712","CSNK1A1",22,372520,FALSE,TRUE
"ENSG00000183111","ARHGEF37",22,394482,FALSE,TRUE
"ENSG00000287323","AC022100.1",0,0,FALSE,FALSE
"ENSG00000155846","PPARGC1B",22,56459,FALSE,TRUE
"ENSG00000132915","PDE6A",22,21802,FALSE,TRUE
"ENSG00000155850","SLC26A2",22,16275938,FALSE,TRUE
"ENSG00000164296","TIGD6",22,29225,FALSE,TRUE
"ENSG00000113716","HMGXB3",22,127417,FALSE,TRUE
"ENSG00000182578","CSF1R",22,1080781,FALSE,TRUE
"ENSG00000113721","PDGFRB",22,809575,FALSE,TRUE
"ENSG00000113722","CDX1",22,4902,FALSE,TRUE
"ENSG00000011083","SLC6A7",22,8106,FALSE,TRUE
"ENSG00000070808","CAMK2A",22,93974,FALSE,TRUE
"ENSG00000183876","ARSI",22,34186,FALSE,TRUE
"ENSG00000070814","TCOF1",22,145559,FALSE,TRUE
"ENSG00000019582","CD74",22,10111513,FALSE,TRUE
"ENSG00000286331","AC011388.1",0,0,FALSE,FALSE
"ENSG00000164587","RPS14",0,0,FALSE,FALSE
"ENSG00000254333","NDST1-AS1",0,0,FALSE,FALSE
"ENSG00000070614","NDST1",22,275484,FALSE,TRUE
"ENSG00000171992","SYNPO",22,352958,FALSE,TRUE
"ENSG00000253852","AC011383.1",0,0,FALSE,FALSE
"ENSG00000286657","AC008453.2",0,0,FALSE,FALSE
"ENSG00000164591","MYOZ3",22,18582,FALSE,TRUE
"ENSG00000250309","AC008453.1",0,0,FALSE,FALSE
"ENSG00000086589","RBM22",22,113457,FALSE,TRUE
"ENSG00000132912","DCTN4",22,483647,FALSE,TRUE
"ENSG00000256235","SMIM3",22,131436,FALSE,TRUE
"ENSG00000237693","IRGM",22,5974,FALSE,TRUE
"ENSG00000145908","ZNF300",22,45614,FALSE,TRUE
