"Depth","D_1000","D_2000","D_3000","D_5000","D_8000"
"D_1000",1,0.934171971012771,0.939376308583852,0.941516477455991,0.940969818236004
"D_2000",0.934171971012771,1,0.965819079494934,0.970280402327948,0.971405639867915
"D_3000",0.939376308583852,0.965819079494934,1,0.980168587230078,0.981966626272276
"D_5000",0.941516477455991,0.970280402327948,0.980168587230078,1,0.989845172128805
"D_8000",0.940969818236004,0.971405639867915,0.981966626272276,0.989845172128805,1
